item_id,material,share
2188d6c72a5d,polyester,0.333333
71fb1677c25e,viscose,0.209016
71fb1677c25e,linen,0.131148
71fb1677c25e,cotton,0.069672
71fb1677c25e,polyester,0.590164
34e6effc29e9,cotton,1.0
1da97aabe6a6,polyester,0.946782
1da97aabe6a6,elastane,0.053218
c9d5232594c7,cotton,0.5
c9d5232594c7,polyester,0.5
672480b4fbbe,polyester,0.869624
672480b4fbbe,cotton,0.072581
672480b4fbbe,elastane,0.057796
f7b6ec67d58f,cotton,0.675
f7b6ec67d58f,polyester,0.325
89ccbbd10936,cotton,0.163934
89ccbbd10936,viscose,0.163934
89ccbbd10936,nylon,0.081967
89ccbbd10936,polyester,0.590164
863b57ac12c1,cotton,0.266393
863b57ac12c1,viscose,0.143443
863b57ac12c1,polyester,0.590164
f263010215f8,polyester,0.795181
f263010215f8,viscose,0.168675
f263010215f8,elastane,0.036145
53e9cb0c4287,cotton,0.5
53e9cb0c4287,polyester,0.5
68ca8ce71e9a,cotton,0.97
68ca8ce71e9a,elastane,0.03
6ac1e6be2dd6,viscose,0.4
6ac1e6be2dd6,other,0.4
6ac1e6be2dd6,nylon,0.18
6ac1e6be2dd6,elastane,0.02
3e53ebb05a7d,linen,1.0
4d0933683964,linen,1.0
48f2b7371323,cotton,0.76
48f2b7371323,polyester,0.19
48f2b7371323,elastane,0.05
7bc42267338f,polyester,0.666667
7bc42267338f,technical,0.333333
26a2c04ecfb3,linen,1.0
f8a54d4ec9a4,linen,1.0
d4d659077459,linen,1.0
4bb34b9f147a,cotton,1.0
7f32c4111979,leather,0.666667
7f32c4111979,other,0.333333
9f875b6d4c14,polyester,1.0
1133bd3fd15e,viscose,0.76
1133bd3fd15e,polyester,0.2
1133bd3fd15e,elastane,0.04
8cd21317b679,polyester,0.5
8cd21317b679,nylon,0.5
88afdd72c837,polyester,1.0
0f9399af1749,polyester,1.0
c15a6dcdb0f9,other,1.0
aff7ca4b8a55,other,1.0
d55ea53d9b4f,cotton,1.0
901ec7c4dd1a,polyester,1.0
867d3dfe4985,cotton,1.0
8658db1e005a,viscose,1.0
b0915cefb95b,polyester,0.88
b0915cefb95b,elastane,0.12
ecd50702be3a,cotton,1.0
dc558f28cd34,cotton,0.666667
dc558f28cd34,polyester,0.285714
dc558f28cd34,elastane,0.047619
0712e60c3f7e,polyester,0.769231
0712e60c3f7e,other,0.230769
bb6bcb3ccf93,cotton,1.0
16f417d80287,viscose,0.5
16f417d80287,cotton,0.46
16f417d80287,elastane,0.04
570390f0fb70,other,0.5
570390f0fb70,cotton,0.5
77aec563767a,linen,1.0
605bca200165,linen,0.5
605bca200165,cotton,0.25
605bca200165,polyester,0.25
002b2f65d2af,polyester,1.0
2355f74e613c,linen,1.0
ac88e85cf0b5,cotton,0.95
ac88e85cf0b5,elastane,0.05
ce687af7afa0,nylon,0.38
ce687af7afa0,elastane,0.12
ce687af7afa0,polyester,0.5
c75837ff9986,linen,1.0
6e6483d5ad20,nylon,0.38
6e6483d5ad20,elastane,0.12
6e6483d5ad20,polyester,0.5
e3a1a4c008c6,cotton,0.72
e3a1a4c008c6,nylon,0.26
e3a1a4c008c6,elastane,0.02
0ae4c3bc1da9,other,0.333333
0ae4c3bc1da9,polyester,0.266667
0ae4c3bc1da9,cotton,0.066667
0ae4c3bc1da9,technical,0.333333
1c51622af591,cotton,0.55
1c51622af591,polyester,0.45
00633465bab7,nylon,0.88
00633465bab7,elastane,0.12
ec6835c59082,linen,1.0
385c7365ce81,linen,1.0
c97c2b3f6656,cotton,0.7
c97c2b3f6656,polyester,0.3
61a6d0c049b6,cotton,0.95
61a6d0c049b6,elastane,0.05
988bd0c6144b,polyester,0.393939
988bd0c6144b,denim,0.606061
f8583c0ba286,elastane,0.01
f8583c0ba286,denim,0.99
6e121dc1ffa6,leather,0.333333
6e121dc1ffa6,other,0.333333
6e121dc1ffa6,cotton,0.333333
a8cf5734e669,elastane,0.021978
a8cf5734e669,denim,0.978022
db0f03c756ef,polyester,0.17
db0f03c756ef,elastane,0.01
db0f03c756ef,denim,0.82
118a2f9f2a4a,polyester,1.0
3bf4e6df263b,viscose,1.0
1845f5daf69f,other,1.0
012b8a2b696f,polyester,0.84
012b8a2b696f,viscose,0.16
1d65bed94ed1,other,1.0
1956edb7e0fb,polyester,0.333333
1956edb7e0fb,nylon,0.54
1956edb7e0fb,elastane,0.126667
7b09b1f355e6,polyester,0.333333
7b09b1f355e6,nylon,0.54
7b09b1f355e6,elastane,0.126667
4998151b76d7,cotton,0.98
4998151b76d7,elastane,0.02
038e81e3c3d5,elastane,0.01
038e81e3c3d5,denim,0.99
0c57eadc70c4,polyester,0.1
0c57eadc70c4,elastane,0.04
0c57eadc70c4,denim,0.86
4b9336a38dd9,other,1.0
97ba1c56e2be,nylon,0.46
97ba1c56e2be,elastane,0.065
97ba1c56e2be,cotton,0.475
725c9e278e0c,viscose,1.0
6640f8dcc40e,other,0.6
6640f8dcc40e,polyester,0.4
c1972106b242,viscose,1.0
a5d788e19cc9,other,1.0
cd02fe30a02a,viscose,1.0
2dca4f1c2e57,other,0.1
2dca4f1c2e57,elastane,0.05
2dca4f1c2e57,denim,0.85
c7d7aaf1d710,viscose,1.0
22a25125606d,other,1.0
481c612a3e3a,wool,0.95
481c612a3e3a,cashmere,0.05
962abc7d50eb,nylon,0.57
962abc7d50eb,elastane,0.096667
962abc7d50eb,polyester,0.333333
864a0b9c7754,cotton,1.0
0e11014ad662,viscose,0.77
0e11014ad662,nylon,0.23
60e64bb1f485,cotton,0.8
60e64bb1f485,polyester,0.2
e2c25206c9d8,nylon,0.375
e2c25206c9d8,elastane,0.125
e2c25206c9d8,polyester,0.5
38857011e0b7,cotton,1.0
887c919cc76d,other,1.0
820d4e857369,other,0.333333
820d4e857369,leather,0.666667
eaf66b2fdb09,other,1.0
dc81208e3fcf,cotton,1.0
d3ac803f414e,cotton,1.0
c72a3b6395cf,cotton,1.0
fe36edd953db,polyester,1.0
1171fbf12ea4,cotton,1.0
2a6703e0044a,polyester,0.666667
2a6703e0044a,other,0.333333
3b959d433689,other,0.333333
3b959d433689,polyester,0.333333
3b959d433689,leather,0.166667
3b959d433689,technical,0.166667
1621777852f5,polyester,0.666667
1621777852f5,cotton,0.18
1621777852f5,nylon,0.153333
d7652b022e92,polyester,0.875
d7652b022e92,other,0.125
1c2098b504be,polyester,1.0
46bad3e0c062,polyester,1.0
bb6556436776,polyester,1.0
c32c5805e34d,polyester,1.0
8914d9f5393d,nylon,0.72
8914d9f5393d,elastane,0.28
31e6d3e0f868,polyester,1.0
