strategy,date,equity
h2_nowcast_trends_monthly,2018-03-02,1.031807
h2_nowcast_trends_monthly,2018-03-05,1.031807
h2_nowcast_trends_monthly,2018-03-06,1.031807
h2_nowcast_trends_monthly,2018-03-07,1.031807
h2_nowcast_trends_monthly,2018-03-08,1.031807
h2_nowcast_trends_monthly,2018-03-09,1.031807
h2_nowcast_trends_monthly,2018-03-12,1.031807
h2_nowcast_trends_monthly,2018-03-13,1.031807
h2_nowcast_trends_monthly,2018-03-14,1.031807
h2_nowcast_trends_monthly,2018-03-15,1.031807
h2_nowcast_trends_monthly,2018-03-16,1.031807
h2_nowcast_trends_monthly,2018-03-19,1.031807
h2_nowcast_trends_monthly,2018-03-20,1.031807
h2_nowcast_trends_monthly,2018-03-21,1.031807
h2_nowcast_trends_monthly,2018-03-22,1.031807
h2_nowcast_trends_monthly,2018-03-23,1.031807
h2_nowcast_trends_monthly,2018-03-26,1.031807
h2_nowcast_trends_monthly,2018-03-27,1.031807
h2_nowcast_trends_monthly,2018-03-28,1.031807
h2_nowcast_trends_monthly,2018-03-29,1.031807
h2_nowcast_trends_monthly,2018-03-30,1.031807
h2_nowcast_trends_monthly,2018-04-02,1.025684
h2_nowcast_trends_monthly,2018-04-03,1.0238
h2_nowcast_trends_monthly,2018-04-04,1.012181
h2_nowcast_trends_monthly,2018-04-05,1.011856
h2_nowcast_trends_monthly,2018-04-06,1.01228
h2_nowcast_trends_monthly,2018-04-09,1.015206
h2_nowcast_trends_monthly,2018-04-10,1.014219
h2_nowcast_trends_monthly,2018-04-11,1.02288
h2_nowcast_trends_monthly,2018-04-12,1.021195
h2_nowcast_trends_monthly,2018-04-13,1.026764
h2_nowcast_trends_monthly,2018-04-16,1.025358
h2_nowcast_trends_monthly,2018-04-17,1.031973
h2_nowcast_trends_monthly,2018-04-18,1.027471
h2_nowcast_trends_monthly,2018-04-19,1.038717
h2_nowcast_trends_monthly,2018-04-20,1.034257
h2_nowcast_trends_monthly,2018-04-23,1.044577
h2_nowcast_trends_monthly,2018-04-24,1.046827
h2_nowcast_trends_monthly,2018-04-25,1.051086
h2_nowcast_trends_monthly,2018-04-26,1.044595
h2_nowcast_trends_monthly,2018-04-27,1.045407
h2_nowcast_trends_monthly,2018-04-30,1.03677
h2_nowcast_trends_monthly,2018-05-01,1.032771
h2_nowcast_trends_monthly,2018-05-02,1.029032
h2_nowcast_trends_monthly,2018-05-03,1.030747
h2_nowcast_trends_monthly,2018-05-04,1.026454
h2_nowcast_trends_monthly,2018-05-07,1.033068
h2_nowcast_trends_monthly,2018-05-08,1.0164
h2_nowcast_trends_monthly,2018-05-09,0.999407
h2_nowcast_trends_monthly,2018-05-10,0.992734
h2_nowcast_trends_monthly,2018-05-11,1.003709
h2_nowcast_trends_monthly,2018-05-14,1.009026
h2_nowcast_trends_monthly,2018-05-15,1.008927
h2_nowcast_trends_monthly,2018-05-16,1.008466
h2_nowcast_trends_monthly,2018-05-17,1.010391
h2_nowcast_trends_monthly,2018-05-18,1.014143
h2_nowcast_trends_monthly,2018-05-21,1.012725
h2_nowcast_trends_monthly,2018-05-22,1.017599
h2_nowcast_trends_monthly,2018-05-23,1.019225
h2_nowcast_trends_monthly,2018-05-24,1.018664
h2_nowcast_trends_monthly,2018-05-25,1.023855
h2_nowcast_trends_monthly,2018-05-28,1.022548
h2_nowcast_trends_monthly,2018-05-29,1.031164
h2_nowcast_trends_monthly,2018-05-30,1.018857
h2_nowcast_trends_monthly,2018-05-31,1.017629
h2_nowcast_trends_monthly,2018-06-01,1.013631
h2_nowcast_trends_monthly,2018-06-04,1.014404
h2_nowcast_trends_monthly,2018-06-05,1.025892
h2_nowcast_trends_monthly,2018-06-06,1.02271
h2_nowcast_trends_monthly,2018-06-07,1.022949
h2_nowcast_trends_monthly,2018-06-08,1.022291
h2_nowcast_trends_monthly,2018-06-11,1.020055
h2_nowcast_trends_monthly,2018-06-12,1.024765
h2_nowcast_trends_monthly,2018-06-13,1.020578
h2_nowcast_trends_monthly,2018-06-14,1.023751
h2_nowcast_trends_monthly,2018-06-15,1.02085
h2_nowcast_trends_monthly,2018-06-18,1.012159
h2_nowcast_trends_monthly,2018-06-19,1.013844
h2_nowcast_trends_monthly,2018-06-20,1.021576
h2_nowcast_trends_monthly,2018-06-21,1.019858
h2_nowcast_trends_monthly,2018-06-22,1.025805
h2_nowcast_trends_monthly,2018-06-25,1.025168
h2_nowcast_trends_monthly,2018-06-26,1.028491
h2_nowcast_trends_monthly,2018-06-27,1.025551
h2_nowcast_trends_monthly,2018-06-28,1.026804
h2_nowcast_trends_monthly,2018-06-29,1.031531
h2_nowcast_trends_monthly,2018-07-02,1.034829
h2_nowcast_trends_monthly,2018-07-03,1.034405
h2_nowcast_trends_monthly,2018-07-04,1.033977
h2_nowcast_trends_monthly,2018-07-05,1.034183
h2_nowcast_trends_monthly,2018-07-06,1.045743
h2_nowcast_trends_monthly,2018-07-09,1.034359
h2_nowcast_trends_monthly,2018-07-10,1.034668
h2_nowcast_trends_monthly,2018-07-11,1.047953
