brand_key,year,season,first_url,reason
moncler,2022,fall,https://www.vogue.com/fashion-shows/fall-2022-ready-to-wear/moncler-gamme-rouge,no alias 200/parseable
moncler,2023,spring,https://www.vogue.com/fashion-shows/spring-2023-ready-to-wear/moncler-gamme-rouge,no alias 200/parseable
moncler,2024,spring,https://www.vogue.com/fashion-shows/spring-2024-ready-to-wear/moncler-gamme-rouge,no alias 200/parseable
moncler,2025,spring,https://www.vogue.com/fashion-shows/spring-2025-ready-to-wear/moncler-gamme-rouge,no alias 200/parseable
moncler,2025,fall,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/moncler-gamme-rouge,no alias 200/parseable
hugo-boss,2000,spring,https://www.vogue.com/fashion-shows/spring-2000-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2000,fall,https://www.vogue.com/fashion-shows/fall-2000-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2001,spring,https://www.vogue.com/fashion-shows/spring-2001-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2001,fall,https://www.vogue.com/fashion-shows/fall-2001-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2003,spring,https://www.vogue.com/fashion-shows/spring-2003-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2003,fall,https://www.vogue.com/fashion-shows/fall-2003-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2004,spring,https://www.vogue.com/fashion-shows/spring-2004-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2004,fall,https://www.vogue.com/fashion-shows/fall-2004-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2005,spring,https://www.vogue.com/fashion-shows/spring-2005-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2005,fall,https://www.vogue.com/fashion-shows/fall-2005-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2006,spring,https://www.vogue.com/fashion-shows/spring-2006-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2006,fall,https://www.vogue.com/fashion-shows/fall-2006-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2007,spring,https://www.vogue.com/fashion-shows/spring-2007-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2007,fall,https://www.vogue.com/fashion-shows/fall-2007-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2008,spring,https://www.vogue.com/fashion-shows/spring-2008-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2008,fall,https://www.vogue.com/fashion-shows/fall-2008-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2009,spring,https://www.vogue.com/fashion-shows/spring-2009-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2009,fall,https://www.vogue.com/fashion-shows/fall-2009-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2010,spring,https://www.vogue.com/fashion-shows/spring-2010-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2010,fall,https://www.vogue.com/fashion-shows/fall-2010-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2011,spring,https://www.vogue.com/fashion-shows/spring-2011-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2011,fall,https://www.vogue.com/fashion-shows/fall-2011-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2012,spring,https://www.vogue.com/fashion-shows/spring-2012-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2012,fall,https://www.vogue.com/fashion-shows/fall-2012-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2013,spring,https://www.vogue.com/fashion-shows/spring-2013-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2013,fall,https://www.vogue.com/fashion-shows/fall-2013-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2014,spring,https://www.vogue.com/fashion-shows/spring-2014-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2024,spring,https://www.vogue.com/fashion-shows/spring-2024-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2024,fall,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/hugo-boss,no alias 200/parseable
hugo-boss,2025,fall,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/hugo-boss,no alias 200/parseable
ralph-lauren,2020,spring,https://www.vogue.com/fashion-shows/spring-2020-ready-to-wear/ralph-lauren,no alias 200/parseable
salvatore-ferragamo,2000,spring,https://www.vogue.com/fashion-shows/spring-2000-ready-to-wear/salvatore-ferragamo,no alias 200/parseable
salvatore-ferragamo,2000,fall,https://www.vogue.com/fashion-shows/fall-2000-ready-to-wear/salvatore-ferragamo,no alias 200/parseable
salvatore-ferragamo,2001,spring,https://www.vogue.com/fashion-shows/spring-2001-ready-to-wear/salvatore-ferragamo,no alias 200/parseable
salvatore-ferragamo,2001,fall,https://www.vogue.com/fashion-shows/fall-2001-ready-to-wear/salvatore-ferragamo,no alias 200/parseable
salvatore-ferragamo,2002,spring,https://www.vogue.com/fashion-shows/spring-2002-ready-to-wear/salvatore-ferragamo,no alias 200/parseable
salvatore-ferragamo,2002,fall,https://www.vogue.com/fashion-shows/fall-2002-ready-to-wear/salvatore-ferragamo,no alias 200/parseable
salvatore-ferragamo,2003,spring,https://www.vogue.com/fashion-shows/spring-2003-ready-to-wear/salvatore-ferragamo,no alias 200/parseable
salvatore-ferragamo,2003,fall,https://www.vogue.com/fashion-shows/fall-2003-ready-to-wear/salvatore-ferragamo,no alias 200/parseable
salvatore-ferragamo,2004,spring,https://www.vogue.com/fashion-shows/spring-2004-ready-to-wear/salvatore-ferragamo,no alias 200/parseable
salvatore-ferragamo,2004,fall,https://www.vogue.com/fashion-shows/fall-2004-ready-to-wear/salvatore-ferragamo,no alias 200/parseable
salvatore-ferragamo,2005,spring,https://www.vogue.com/fashion-shows/spring-2005-ready-to-wear/salvatore-ferragamo,no alias 200/parseable
salvatore-ferragamo,2005,fall,https://www.vogue.com/fashion-shows/fall-2005-ready-to-wear/salvatore-ferragamo,no alias 200/parseable
tods,2000,spring,https://www.vogue.com/fashion-shows/spring-2000-ready-to-wear/tod-s,no alias 200/parseable
tods,2000,fall,https://www.vogue.com/fashion-shows/fall-2000-ready-to-wear/tod-s,no alias 200/parseable
tods,2001,spring,https://www.vogue.com/fashion-shows/spring-2001-ready-to-wear/tod-s,no alias 200/parseable
tods,2001,fall,https://www.vogue.com/fashion-shows/fall-2001-ready-to-wear/tod-s,no alias 200/parseable
tods,2002,spring,https://www.vogue.com/fashion-shows/spring-2002-ready-to-wear/tod-s,no alias 200/parseable
tods,2002,fall,https://www.vogue.com/fashion-shows/fall-2002-ready-to-wear/tod-s,no alias 200/parseable
tods,2003,spring,https://www.vogue.com/fashion-shows/spring-2003-ready-to-wear/tod-s,no alias 200/parseable
tods,2003,fall,https://www.vogue.com/fashion-shows/fall-2003-ready-to-wear/tod-s,no alias 200/parseable
tods,2004,spring,https://www.vogue.com/fashion-shows/spring-2004-ready-to-wear/tod-s,no alias 200/parseable
tods,2004,fall,https://www.vogue.com/fashion-shows/fall-2004-ready-to-wear/tod-s,no alias 200/parseable
tods,2005,spring,https://www.vogue.com/fashion-shows/spring-2005-ready-to-wear/tod-s,no alias 200/parseable
tods,2005,fall,https://www.vogue.com/fashion-shows/fall-2005-ready-to-wear/tod-s,no alias 200/parseable
tods,2006,spring,https://www.vogue.com/fashion-shows/spring-2006-ready-to-wear/tod-s,no alias 200/parseable
tods,2006,fall,https://www.vogue.com/fashion-shows/fall-2006-ready-to-wear/tod-s,no alias 200/parseable
tods,2007,spring,https://www.vogue.com/fashion-shows/spring-2007-ready-to-wear/tod-s,no alias 200/parseable
tods,2007,fall,https://www.vogue.com/fashion-shows/fall-2007-ready-to-wear/tod-s,no alias 200/parseable
tods,2008,spring,https://www.vogue.com/fashion-shows/spring-2008-ready-to-wear/tod-s,no alias 200/parseable
tods,2008,fall,https://www.vogue.com/fashion-shows/fall-2008-ready-to-wear/tod-s,no alias 200/parseable
tods,2009,spring,https://www.vogue.com/fashion-shows/spring-2009-ready-to-wear/tod-s,no alias 200/parseable
tods,2009,fall,https://www.vogue.com/fashion-shows/fall-2009-ready-to-wear/tod-s,no alias 200/parseable
tods,2010,spring,https://www.vogue.com/fashion-shows/spring-2010-ready-to-wear/tod-s,no alias 200/parseable
tods,2010,fall,https://www.vogue.com/fashion-shows/fall-2010-ready-to-wear/tod-s,no alias 200/parseable
tods,2011,spring,https://www.vogue.com/fashion-shows/spring-2011-ready-to-wear/tod-s,no alias 200/parseable
tods,2011,fall,https://www.vogue.com/fashion-shows/fall-2011-ready-to-wear/tod-s,no alias 200/parseable
tods,2012,spring,https://www.vogue.com/fashion-shows/spring-2012-ready-to-wear/tod-s,no alias 200/parseable
tods,2012,fall,https://www.vogue.com/fashion-shows/fall-2012-ready-to-wear/tod-s,no alias 200/parseable
tods,2013,spring,https://www.vogue.com/fashion-shows/spring-2013-ready-to-wear/tod-s,no alias 200/parseable
