event_id,ticker,earnings_within_10d,confounder_unknown,confounded
E00375,PVH,False,False,False
E00376,PVH,False,False,False
E00377,PVH,False,False,False
E00378,PVH,False,False,False
E00379,PVH,False,False,False
E00380,PVH,False,False,False
E00381,PVH,False,False,False
E00382,PVH,False,False,False
E00383,PVH,False,False,False
E00384,PVH,False,False,False
E00385,PVH,False,False,False
E00386,PVH,False,False,False
E00387,PVH,False,False,False
E00388,PVH,False,False,False
E00389,PVH,False,False,False
E00390,PVH,True,False,True
E00391,PVH,False,False,False
E00392,PVH,True,False,True
E00393,PVH,False,False,False
E00394,PVH,True,False,True
E00397,RMS.PA,False,False,False
E00398,RMS.PA,False,False,False
E00399,RMS.PA,False,False,False
E00400,RMS.PA,False,False,False
E00401,RMS.PA,False,False,False
E00402,RMS.PA,False,False,False
E00403,RMS.PA,False,False,False
E00404,RMS.PA,False,False,False
E00405,RMS.PA,False,False,False
E00406,RMS.PA,False,False,False
E00407,RMS.PA,False,False,False
E00408,RMS.PA,False,False,False
E00409,RMS.PA,False,False,False
E00410,RMS.PA,False,False,False
E00411,RMS.PA,False,False,False
E00412,RMS.PA,False,False,False
E00413,RMS.PA,False,False,False
E00414,RMS.PA,False,False,False
E00415,RMS.PA,False,False,False
E00416,RMS.PA,False,False,False
E00417,RMS.PA,False,False,False
E00418,RMS.PA,False,False,False
E00419,RMS.PA,False,False,False
E00420,RMS.PA,False,False,False
E00421,RMS.PA,False,False,False
E00422,RMS.PA,False,False,False
E00423,RMS.PA,False,False,False
E00424,RMS.PA,False,False,False
E00425,RMS.PA,False,False,False
E00426,RMS.PA,False,False,False
E00427,RMS.PA,False,False,False
E00428,RMS.PA,False,False,False
E00429,RMS.PA,False,False,False
E00430,RMS.PA,False,False,False
E00431,RMS.PA,False,False,False
E00432,RMS.PA,False,False,False
E00433,RMS.PA,False,False,False
E00434,RMS.PA,False,False,False
E00435,RMS.PA,False,False,False
E00436,RMS.PA,False,False,False
E00437,RMS.PA,False,False,False
E00438,RMS.PA,False,False,False
E00439,RMS.PA,False,False,False
E00440,RMS.PA,False,False,False
E00447,BRBY.L,False,False,False
E00448,BRBY.L,False,False,False
E00449,BRBY.L,False,False,False
E00450,BRBY.L,False,False,False
E00451,BRBY.L,False,False,False
E00452,BRBY.L,False,False,False
E00453,BRBY.L,False,False,False
E00454,BRBY.L,False,False,False
E00455,BRBY.L,False,False,False
E00456,BRBY.L,False,False,False
E00457,BRBY.L,False,False,False
E00458,BRBY.L,False,False,False
E00459,BRBY.L,False,False,False
E00460,BRBY.L,False,False,False
E00461,BRBY.L,False,False,False
E00462,BRBY.L,False,False,False
E00463,BRBY.L,False,False,False
E00464,BRBY.L,False,False,False
E00465,BRBY.L,False,False,False
E00466,BRBY.L,False,False,False
E00467,BRBY.L,False,False,False
E00468,BRBY.L,False,False,False
E00469,BRBY.L,False,False,False
E00470,BRBY.L,False,False,False
E00471,BRBY.L,False,False,False
E00472,BRBY.L,False,False,False
E00473,BRBY.L,False,False,False
E00474,BRBY.L,False,False,False
E00475,BRBY.L,False,False,False
E00476,BRBY.L,False,False,False
E00477,BRBY.L,False,False,False
E00478,BRBY.L,False,False,False
E00479,BRBY.L,False,False,False
E00480,BRBY.L,False,False,False
E00481,BRBY.L,False,False,False
E00482,BRBY.L,False,False,False
E00483,BRBY.L,False,False,False
E00484,BRBY.L,False,False,False
E00485,BRBY.L,False,False,False
E00486,BRBY.L,False,False,False
E00487,BRBY.L,False,False,False
E00488,BRBY.L,False,False,False
E00489,BRBY.L,False,False,False
E00490,BRBY.L,False,False,False
E00491,BRBY.L,False,False,False
E00509,1913.HK,False,False,False
E00510,1913.HK,False,False,False
E00511,1913.HK,False,False,False
E00512,1913.HK,False,False,False
E00513,1913.HK,False,False,False
E00514,1913.HK,False,False,False
E00515,1913.HK,False,False,False
E00516,1913.HK,False,False,False
E00517,1913.HK,False,False,False
E00518,1913.HK,True,False,True
E00519,1913.HK,False,False,False
E00520,1913.HK,True,False,True
E00521,1913.HK,False,False,False
E00522,1913.HK,True,False,True
E00523,1913.HK,False,False,False
E00524,1913.HK,True,False,True
E00525,1913.HK,False,False,False
E00526,1913.HK,False,False,False
E00527,1913.HK,False,False,False
E00528,1913.HK,True,False,True
E00529,1913.HK,False,False,False
E00530,1913.HK,False,False,False
E00531,1913.HK,False,False,False
E00532,1913.HK,False,False,False
E00533,1913.HK,False,False,False
E00534,1913.HK,False,False,False
E00535,1913.HK,False,False,False
E00536,1913.HK,False,False,False
E00537,1913.HK,False,False,False
E00538,1913.HK,False,False,False
E00539,1913.HK,False,False,False
E00540,1913.HK,False,False,False
E00541,1913.HK,False,False,False
E00542,1913.HK,False,False,False
E00543,1913.HK,False,False,False
E00561,1913.HK,False,False,False
E00562,1913.HK,False,False,False
E00563,1913.HK,False,False,False
E00564,1913.HK,True,False,True
E00565,1913.HK,False,False,False
E00566,1913.HK,False,False,False
E00567,1913.HK,True,False,True
