brand_slug,ticker,season,year,show_date,designer,source_url
gucci,KER.PA,fall,2023,2023-02-24,is Sabato De Sarno. When his appointment,https://www.vogue.com/fashion-shows/fall-2023-ready-to-wear/gucci
gucci,KER.PA,spring,2024,2023-09-22,,https://www.vogue.com/fashion-shows/spring-2024-ready-to-wear/gucci
gucci,KER.PA,fall,2024,2024-02-23,,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/gucci
gucci,KER.PA,spring,2025,2024-09-20,,https://www.vogue.com/fashion-shows/spring-2025-ready-to-wear/gucci
gucci,KER.PA,fall,2025,2025-02-25,,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/gucci
saint-laurent,KER.PA,spring,2000,1999-10-03,,https://www.vogue.com/fashion-shows/spring-2000-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2000,2000-02-27,,https://www.vogue.com/fashion-shows/fall-2000-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2001,2000-10-12,,https://www.vogue.com/fashion-shows/spring-2001-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2001,2001-03-13,,https://www.vogue.com/fashion-shows/fall-2001-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2002,2001-10-09,,https://www.vogue.com/fashion-shows/spring-2002-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2002,2002-03-10,,https://www.vogue.com/fashion-shows/fall-2002-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2003,2002-10-06,,https://www.vogue.com/fashion-shows/spring-2003-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2003,2003-03-09,,https://www.vogue.com/fashion-shows/fall-2003-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2004,2003-10-11,,https://www.vogue.com/fashion-shows/spring-2004-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2004,2004-03-06,,https://www.vogue.com/fashion-shows/fall-2004-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2005,2004-10-09,,https://www.vogue.com/fashion-shows/spring-2005-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2005,2005-03-05,,https://www.vogue.com/fashion-shows/fall-2005-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2006,2005-10-08,,https://www.vogue.com/fashion-shows/spring-2006-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2006,2006-03-01,,https://www.vogue.com/fashion-shows/fall-2006-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2007,2006-10-04,,https://www.vogue.com/fashion-shows/spring-2007-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2007,2007-02-28,,https://www.vogue.com/fashion-shows/fall-2007-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2008,2007-10-03,,https://www.vogue.com/fashion-shows/spring-2008-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2008,2008-02-27,,https://www.vogue.com/fashion-shows/fall-2008-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2009,2008-10-01,,https://www.vogue.com/fashion-shows/spring-2009-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2009,2009-03-08,,https://www.vogue.com/fashion-shows/fall-2009-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2010,2009-10-04,,https://www.vogue.com/fashion-shows/spring-2010-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2010,2010-03-07,,https://www.vogue.com/fashion-shows/fall-2010-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2011,2010-10-03,,https://www.vogue.com/fashion-shows/spring-2011-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2011,2011-03-06,,https://www.vogue.com/fashion-shows/fall-2011-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2012,2011-10-02,,https://www.vogue.com/fashion-shows/spring-2012-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2012,2012-03-04,,https://www.vogue.com/fashion-shows/fall-2012-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2013,2012-09-30,,https://www.vogue.com/fashion-shows/spring-2013-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2013,2013-03-03,,https://www.vogue.com/fashion-shows/fall-2013-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2014,2013-09-29,,https://www.vogue.com/fashion-shows/spring-2014-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2014,2014-03-02,,https://www.vogue.com/fashion-shows/fall-2014-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2015,2014-09-29,,https://www.vogue.com/fashion-shows/spring-2015-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2015,2015-03-09,,https://www.vogue.com/fashion-shows/fall-2015-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2016,2015-10-05,,https://www.vogue.com/fashion-shows/spring-2016-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2016,2016-03-07,,https://www.vogue.com/fashion-shows/fall-2016-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2017,2016-09-27,has to have a lot to do with scale of the,https://www.vogue.com/fashion-shows/spring-2017-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2017,2017-02-28,,https://www.vogue.com/fashion-shows/fall-2017-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2018,2017-09-26,,https://www.vogue.com/fashion-shows/spring-2018-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2018,2018-02-27,,https://www.vogue.com/fashion-shows/fall-2018-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2019,2018-09-25,at Saint Laurent. Vaccarello does short,https://www.vogue.com/fashion-shows/spring-2019-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2019,2019-02-26,address the legacy of the designer whose,https://www.vogue.com/fashion-shows/fall-2019-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2020,2019-09-24,,https://www.vogue.com/fashion-shows/spring-2020-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2020,2020-02-25,,https://www.vogue.com/fashion-shows/fall-2020-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2021,2020-12-15,,https://www.vogue.com/fashion-shows/spring-2021-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2021,2021-04-28,,https://www.vogue.com/fashion-shows/fall-2021-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2022,2021-09-28,,https://www.vogue.com/fashion-shows/spring-2022-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2022,2022-03-01,,https://www.vogue.com/fashion-shows/fall-2022-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2023,2022-09-27,,https://www.vogue.com/fashion-shows/spring-2023-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2023,2023-02-28,,https://www.vogue.com/fashion-shows/fall-2023-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2024,2023-09-26,,https://www.vogue.com/fashion-shows/spring-2024-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2024,2024-02-27,,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/saint-laurent
saint-laurent,KER.PA,spring,2025,2024-09-24,,https://www.vogue.com/fashion-shows/spring-2025-ready-to-wear/saint-laurent
saint-laurent,KER.PA,fall,2025,2025-03-11,,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/saint-laurent
bottega-veneta,KER.PA,spring,2000,1999-09-12,,https://www.vogue.com/fashion-shows/spring-2000-ready-to-wear/bottega-veneta
bottega-veneta,KER.PA,fall,2000,2000-02-07,,https://www.vogue.com/fashion-shows/fall-2000-ready-to-wear/bottega-veneta
bottega-veneta,KER.PA,spring,2001,2000-10-05,,https://www.vogue.com/fashion-shows/spring-2001-ready-to-wear/bottega-veneta
bottega-veneta,KER.PA,fall,2001,2001-03-04,Laura Moltedo officially appointed Britis,https://www.vogue.com/fashion-shows/fall-2001-ready-to-wear/bottega-veneta
bottega-veneta,KER.PA,fall,2004,2004-02-23,,https://www.vogue.com/fashion-shows/fall-2004-ready-to-wear/bottega-veneta
bottega-veneta,KER.PA,spring,2005,2004-09-27,,https://www.vogue.com/fashion-shows/spring-2005-ready-to-wear/bottega-veneta
bottega-veneta,KER.PA,fall,2005,2005-02-20,,https://www.vogue.com/fashion-shows/fall-2005-ready-to-wear/bottega-veneta
bottega-veneta,KER.PA,spring,2006,2005-09-27,,https://www.vogue.com/fashion-shows/spring-2006-ready-to-wear/bottega-veneta
