look_id,model,tagged_at
alexander-mcqueen|FW2020|027,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|028,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|029,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|030,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|031,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|032,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|033,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|034,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|035,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|036,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|037,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|038,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|039,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|040,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|041,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|042,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|043,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|044,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|045,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|046,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|047,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|048,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|049,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|050,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|051,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|052,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|053,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|054,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|055,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|056,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|057,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|058,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|059,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|060,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2021|001,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2021|002,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2021|003,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2021|004,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2021|005,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2021|006,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2021|007,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2021|008,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2021|009,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2021|010,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2021|011,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2021|012,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2021|013,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2021|014,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2021|015,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2021|016,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2021|017,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2021|018,pixtral-12b-2409,2026-07-03
