look_id,category
alexander-mcqueen|FW2020|027,skirt
alexander-mcqueen|FW2020|028,outerwear
alexander-mcqueen|FW2020|029,dress
alexander-mcqueen|FW2020|030,knitwear
alexander-mcqueen|FW2020|031,tailoring
alexander-mcqueen|FW2020|032,dress
alexander-mcqueen|FW2020|033,dress
alexander-mcqueen|FW2020|034,knitwear
alexander-mcqueen|FW2020|035,dress
alexander-mcqueen|FW2020|036,dress
alexander-mcqueen|FW2020|037,dress
alexander-mcqueen|FW2020|038,tailoring
alexander-mcqueen|FW2020|039,dress
alexander-mcqueen|FW2020|040,tailoring
alexander-mcqueen|FW2020|041,dress
alexander-mcqueen|FW2020|042,tailoring
alexander-mcqueen|FW2020|043,tailoring
alexander-mcqueen|FW2020|044,tailoring
alexander-mcqueen|FW2020|045,dress
alexander-mcqueen|FW2020|046,tailoring
alexander-mcqueen|FW2020|047,dress
alexander-mcqueen|FW2020|048,tailoring
alexander-mcqueen|FW2020|049,dress
alexander-mcqueen|FW2020|050,tailoring
alexander-mcqueen|FW2020|051,dress
alexander-mcqueen|FW2020|052,outerwear
alexander-mcqueen|FW2020|053,dress
alexander-mcqueen|FW2020|054,dress
alexander-mcqueen|FW2020|055,knitwear
alexander-mcqueen|FW2020|056,outerwear
alexander-mcqueen|FW2020|057,knitwear
alexander-mcqueen|FW2020|058,tailoring
alexander-mcqueen|FW2020|059,dress
alexander-mcqueen|FW2020|060,outerwear
alexander-mcqueen|FW2021|001,dress
alexander-mcqueen|FW2021|002,dress
alexander-mcqueen|FW2021|003,dress
alexander-mcqueen|FW2021|004,dress
alexander-mcqueen|FW2021|005,dress
alexander-mcqueen|FW2021|006,dress
alexander-mcqueen|FW2021|007,skirt
alexander-mcqueen|FW2021|008,tailoring
alexander-mcqueen|FW2021|009,outerwear
alexander-mcqueen|FW2021|010,tailoring
alexander-mcqueen|FW2021|011,dress
alexander-mcqueen|FW2021|012,outerwear
alexander-mcqueen|FW2021|013,tailoring
alexander-mcqueen|FW2021|014,tailoring
alexander-mcqueen|FW2021|015,tailoring
alexander-mcqueen|FW2021|016,tailoring
alexander-mcqueen|FW2021|017,outerwear
alexander-mcqueen|FW2021|018,outerwear
alexander-mcqueen|FW2021|019,outerwear
alexander-mcqueen|FW2021|020,dress
alexander-mcqueen|FW2021|021,knitwear
alexander-mcqueen|FW2021|022,dress
alexander-mcqueen|FW2021|023,dress
alexander-mcqueen|FW2021|024,dress
alexander-mcqueen|FW2021|025,tailoring
alexander-mcqueen|FW2021|026,dress
alexander-mcqueen|FW2021|027,tailoring
alexander-mcqueen|FW2021|028,dress
alexander-mcqueen|FW2021|029,tailoring
alexander-mcqueen|FW2021|030,tailoring
alexander-mcqueen|FW2021|031,dress
alexander-mcqueen|FW2021|032,dress
alexander-mcqueen|FW2021|033,outerwear
alexander-mcqueen|FW2021|034,dress
alexander-mcqueen|FW2021|035,dress
alexander-mcqueen|FW2021|036,dress
alexander-mcqueen|FW2021|037,outerwear
alexander-mcqueen|FW2021|038,dress
alexander-mcqueen|FW2021|039,outerwear
alexander-mcqueen|FW2021|040,dress
alexander-mcqueen|FW2021|041,dress
alexander-mcqueen|FW2021|042,tailoring
alexander-mcqueen|FW2021|043,dress
