look_id,reason,logged
valentino|SS2023|004,image download failed,2026-07-03
versace|SS2023|004,image download failed,2026-07-03
alexander-mcqueen|SS2024|004,image download failed,2026-07-03
balenciaga|SS2024|004,image download failed,2026-07-03
bottega-veneta|SS2024|004,image download failed,2026-07-03
brunello-cucinelli|SS2024|004,image download failed,2026-07-03
burberry|SS2024|004,image download failed,2026-07-03
chloe|SS2024|004,image download failed,2026-07-03
christian-dior|SS2024|004,image download failed,2026-07-03
fendi|SS2024|004,image download failed,2026-07-03
gucci|SS2024|004,image download failed,2026-07-03
hermes|SS2024|004,image download failed,2026-07-03
loewe|SS2024|004,image download failed,2026-07-03
louis-vuitton|SS2024|004,image download failed,2026-07-03
miu-miu|SS2024|004,image download failed,2026-07-03
prada|SS2024|004,image download failed,2026-07-03
ralph-lauren|SS2024|004,image download failed,2026-07-03
saint-laurent|SS2024|004,image download failed,2026-07-03
salvatore-ferragamo|SS2024|004,image download failed,2026-07-03
tods|SS2024|004,image download failed,2026-07-03
valentino|SS2024|004,image download failed,2026-07-03
versace|SS2024|004,image download failed,2026-07-03
alexander-mcqueen|SS2025|004,image download failed,2026-07-03
balenciaga|SS2025|004,image download failed,2026-07-03
bottega-veneta|SS2025|004,image download failed,2026-07-03
burberry|SS2025|004,image download failed,2026-07-03
chloe|SS2025|004,image download failed,2026-07-03
christian-dior|SS2025|004,image download failed,2026-07-03
fendi|SS2025|004,image download failed,2026-07-03
gucci|SS2025|004,image download failed,2026-07-03
hermes|SS2025|004,image download failed,2026-07-03
loewe|SS2025|004,image download failed,2026-07-03
miu-miu|SS2025|004,image download failed,2026-07-03
prada|SS2025|004,image download failed,2026-07-03
ralph-lauren|SS2025|004,image download failed,2026-07-03
saint-laurent|SS2025|004,image download failed,2026-07-03
salvatore-ferragamo|SS2025|004,image download failed,2026-07-03
tods|SS2025|004,image download failed,2026-07-03
valentino|SS2025|004,image download failed,2026-07-03
versace|SS2025|004,image download failed,2026-07-03
alexander-mcqueen|SS2026|004,image download failed,2026-07-03
balenciaga|SS2026|004,image download failed,2026-07-03
bottega-veneta|SS2026|004,image download failed,2026-07-03
celine|SS2026|004,image download failed,2026-07-03
chloe|SS2026|004,image download failed,2026-07-03
christian-dior|SS2026|004,image download failed,2026-07-03
fendi|SS2026|004,image download failed,2026-07-03
gucci|SS2026|004,image download failed,2026-07-03
hermes|SS2026|004,image download failed,2026-07-03
loewe|SS2026|004,image download failed,2026-07-03
louis-vuitton|SS2026|004,image download failed,2026-07-03
miu-miu|SS2026|004,image download failed,2026-07-03
prada|SS2026|004,image download failed,2026-07-03
saint-laurent|SS2026|004,image download failed,2026-07-03
salvatore-ferragamo|SS2026|004,image download failed,2026-07-03
tods|SS2026|004,image download failed,2026-07-03
valentino|SS2026|004,image download failed,2026-07-03
versace|SS2026|004,image download failed,2026-07-03
balenciaga|FW2015|007,image download failed,2026-07-03
bottega-veneta|FW2015|007,image download failed,2026-07-03
brunello-cucinelli|FW2015|007,image download failed,2026-07-03
burberry|FW2015|007,image download failed,2026-07-03
celine|FW2015|026,image download failed,2026-07-03
chloe|FW2015|007,image download failed,2026-07-03
christian-dior|FW2015|007,image download failed,2026-07-03
fendi|FW2015|007,image download failed,2026-07-03
gucci|FW2015|007,image download failed,2026-07-03
hermes|FW2015|007,image download failed,2026-07-03
loewe|FW2015|007,image download failed,2026-07-03
louis-vuitton|FW2015|007,image download failed,2026-07-03
miu-miu|FW2015|007,image download failed,2026-07-03
moncler|FW2015|007,image download failed,2026-07-03
prada|FW2015|007,image download failed,2026-07-03
ralph-lauren|FW2015|007,image download failed,2026-07-03
saint-laurent|FW2015|007,image download failed,2026-07-03
salvatore-ferragamo|FW2015|007,image download failed,2026-07-03
valentino|FW2015|007,image download failed,2026-07-03
balenciaga|FW2016|007,image download failed,2026-07-03
bottega-veneta|FW2016|007,image download failed,2026-07-03
brunello-cucinelli|FW2016|007,image download failed,2026-07-03
burberry|FW2016|007,image download failed,2026-07-03
celine|FW2016|007,image download failed,2026-07-03
chloe|FW2016|007,image download failed,2026-07-03
christian-dior|FW2016|007,image download failed,2026-07-03
fendi|FW2016|007,image download failed,2026-07-03
gucci|FW2016|007,image download failed,2026-07-03
hermes|FW2016|007,image download failed,2026-07-03
loewe|FW2016|007,image download failed,2026-07-03
louis-vuitton|FW2016|007,image download failed,2026-07-03
miu-miu|FW2016|007,image download failed,2026-07-03
moncler|FW2016|007,image download failed,2026-07-03
prada|FW2016|007,image download failed,2026-07-03
ralph-lauren|FW2016|007,image download failed,2026-07-03
saint-laurent|FW2016|007,image download failed,2026-07-03
tods|FW2016|007,image download failed,2026-07-03
valentino|FW2016|007,image download failed,2026-07-03
versace|FW2016|007,image download failed,2026-07-03
balenciaga|FW2017|007,image download failed,2026-07-03
bottega-veneta|FW2017|007,image download failed,2026-07-03
brunello-cucinelli|FW2017|007,image download failed,2026-07-03
burberry|FW2017|007,image download failed,2026-07-03
celine|FW2017|007,image download failed,2026-07-03
chloe|FW2017|007,image download failed,2026-07-03
christian-dior|FW2017|007,image download failed,2026-07-03
fendi|FW2017|007,image download failed,2026-07-03
gucci|FW2017|007,image download failed,2026-07-03
hermes|FW2017|007,image download failed,2026-07-03
loewe|FW2017|007,image download failed,2026-07-03
louis-vuitton|FW2017|007,image download failed,2026-07-03
miu-miu|FW2017|007,image download failed,2026-07-03
moncler|FW2017|007,image download failed,2026-07-03
prada|FW2017|007,image download failed,2026-07-03
ralph-lauren|FW2017|007,image download failed,2026-07-03
saint-laurent|FW2017|007,image download failed,2026-07-03
salvatore-ferragamo|FW2017|007,image download failed,2026-07-03
tods|FW2017|007,image download failed,2026-07-03
