event_id,city,season,year,parent_ticker,ticker,brands_showing,n_brands_showing,fw_start_date,show_date,fw_end_date,local_index
E00365,new_york,FW,2013,CPRI,CPRI,Michael Kors,1,2013-02-08,2013-02-08,2013-02-14,^GSPC
E00366,new_york,FW,2013,TPR,TPR,Coach,1,2013-02-08,2013-02-08,2013-02-14,^GSPC
E00367,new_york,FW,2013,PVH,PVH,Calvin Klein; Tommy Hilfiger,2,2013-02-08,2013-02-08,2013-02-14,^GSPC
E00368,new_york,FW,2013,RL,RL,Ralph Lauren,1,2013-02-08,2013-02-08,2013-02-14,^GSPC
E00369,london,FW,2013,BRBY.L,BRBY.L,Burberry,1,2013-02-15,2013-02-15,2013-02-20,^FTSE
E00370,milan,FW,2013,KER.PA,KER.PA,Gucci; Bottega Veneta,2,2013-02-21,2013-02-21,2013-02-26,FTSEMIB.MI
E00371,milan,FW,2013,1913.HK,1913.HK,Prada; Miu Miu,2,2013-02-21,2013-02-21,2013-02-26,FTSEMIB.MI
E00372,milan,FW,2013,BC.MI,BC.MI,Brunello Cucinelli,1,2013-02-21,2013-02-21,2013-02-26,FTSEMIB.MI
E00373,milan,FW,2013,MONC.MI,MONC.MI,Moncler,1,2013-02-21,2013-02-21,2013-02-26,FTSEMIB.MI
E00374,milan,FW,2013,SFER.MI,SFER.MI,Salvatore Ferragamo,1,2013-02-21,2013-02-21,2013-02-26,FTSEMIB.MI
E00375,milan,FW,2013,MC.PA,MC.PA,Fendi,1,2013-02-21,2013-02-21,2013-02-26,FTSEMIB.MI
E00376,paris,FW,2013,MC.PA,MC.PA,Louis Vuitton; Dior; Loewe; Celine; Givenchy; Fendi,6,2013-02-27,2013-02-27,2013-03-04,^FCHI
E00377,paris,FW,2013,KER.PA,KER.PA,Saint Laurent; Balenciaga; Alexander McQueen,3,2013-02-27,2013-02-27,2013-03-04,^FCHI
E00378,paris,FW,2013,RMS.PA,RMS.PA,Hermès,1,2013-02-27,2013-02-27,2013-03-04,^FCHI
E00379,new_york,SS,2013,CPRI,CPRI,Michael Kors,1,2013-09-13,2013-09-13,2013-09-19,^GSPC
E00380,new_york,SS,2013,TPR,TPR,Coach,1,2013-09-13,2013-09-13,2013-09-19,^GSPC
E00381,new_york,SS,2013,PVH,PVH,Calvin Klein; Tommy Hilfiger,2,2013-09-13,2013-09-13,2013-09-19,^GSPC
E00382,new_york,SS,2013,RL,RL,Ralph Lauren,1,2013-09-13,2013-09-13,2013-09-19,^GSPC
E00383,london,SS,2013,BRBY.L,BRBY.L,Burberry,1,2013-09-20,2013-09-20,2013-09-25,^FTSE
E00384,milan,SS,2013,KER.PA,KER.PA,Gucci; Bottega Veneta,2,2013-09-26,2013-09-26,2013-10-01,FTSEMIB.MI
E00385,milan,SS,2013,1913.HK,1913.HK,Prada; Miu Miu,2,2013-09-26,2013-09-26,2013-10-01,FTSEMIB.MI
E00386,milan,SS,2013,BC.MI,BC.MI,Brunello Cucinelli,1,2013-09-26,2013-09-26,2013-10-01,FTSEMIB.MI
E00387,milan,SS,2013,MONC.MI,MONC.MI,Moncler,1,2013-09-26,2013-09-26,2013-10-01,FTSEMIB.MI
