date,material,nowcast_z,direction,tickers
2018-12-01,cotton,-0.8313,flat,CT=F
2018-12-01,denim,1.6743,long,CT=F
2018-12-01,leather,1.4804,long,LE=F
2018-12-01,nylon,,flat,3402.T;CL=F
2018-12-01,polyester,1.1328,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-12-01,technical,,flat,3402.T
2018-12-01,viscose,-0.677,flat,LNZ.VI
2019-01-01,cotton,-0.8313,flat,CT=F
2019-01-01,denim,1.4986,long,CT=F
2019-01-01,leather,1.7457,long,LE=F
2019-01-01,nylon,,flat,3402.T;CL=F
2019-01-01,polyester,0.9574,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-01-01,technical,,flat,3402.T
2019-01-01,viscose,-0.677,flat,LNZ.VI
2019-02-01,cotton,-0.8313,flat,CT=F
2019-02-01,denim,-0.4698,flat,CT=F
2019-02-01,leather,0.5725,flat,LE=F
2019-02-01,nylon,,flat,3402.T;CL=F
2019-02-01,polyester,0.8092,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-02-01,technical,,flat,3402.T
2019-02-01,viscose,1.354,long,LNZ.VI
2019-03-01,cotton,-0.9705,flat,CT=F
2019-03-01,denim,-0.2013,flat,CT=F
2019-03-01,leather,0.0793,flat,LE=F
2019-03-01,nylon,,flat,3402.T;CL=F
2019-03-01,polyester,2.708,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-03-01,technical,,flat,3402.T
2019-03-01,viscose,-0.8092,flat,LNZ.VI
2019-04-01,cotton,-0.1246,flat,CT=F
2019-04-01,denim,0.3629,flat,CT=F
2019-04-01,leather,-0.0926,flat,LE=F
2019-04-01,nylon,,flat,3402.T;CL=F
2019-04-01,polyester,2.0207,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-04-01,technical,,flat,3402.T
2019-04-01,viscose,1.1328,long,LNZ.VI
2019-05-01,cotton,1.3711,long,CT=F
2019-05-01,denim,0.674,flat,CT=F
2019-05-01,leather,-0.5686,flat,LE=F
2019-05-01,nylon,,flat,3402.T;CL=F
2019-05-01,polyester,1.6204,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-05-01,technical,,flat,3402.T
2019-05-01,viscose,0.9574,flat,LNZ.VI
2019-06-01,cotton,1.2305,long,CT=F
2019-06-01,denim,1.036,long,CT=F
2019-06-01,leather,-0.8498,flat,LE=F
