date,material,nowcast_z,direction,tickers
2020-04-01,nylon,-0.0268,flat,3402.T;CL=F
2020-04-01,polyester,0.9812,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-04-01,technical,0.0112,flat,3402.T
2020-04-01,viscose,-0.4911,flat,LNZ.VI
2020-05-01,cotton,2.4301,long,CT=F
2020-05-01,denim,-0.4485,flat,CT=F
2020-05-01,leather,-0.6313,flat,LE=F
2020-05-01,nylon,-1.2275,short,3402.T;CL=F
2020-05-01,polyester,-0.3216,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-05-01,technical,-1.0566,short,3402.T
2020-05-01,viscose,0.8774,flat,LNZ.VI
2020-06-01,cotton,4.3045,long,CT=F
2020-06-01,denim,-0.5728,flat,CT=F
2020-06-01,leather,1.8285,long,LE=F
2020-06-01,nylon,-0.7025,flat,3402.T;CL=F
2020-06-01,polyester,-0.9304,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-06-01,technical,-0.0294,flat,3402.T
2020-06-01,viscose,-0.8238,flat,LNZ.VI
2020-07-01,cotton,0.1261,flat,CT=F
2020-07-01,denim,-1.6764,short,CT=F
2020-07-01,leather,1.4424,long,LE=F
2020-07-01,nylon,-0.432,flat,3402.T;CL=F
2020-07-01,polyester,0.8814,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-07-01,technical,0.4749,flat,3402.T
2020-07-01,viscose,0.0267,flat,LNZ.VI
2020-08-01,cotton,2.3832,long,CT=F
2020-08-01,denim,-0.2591,flat,CT=F
2020-08-01,leather,0.1229,flat,LE=F
2020-08-01,nylon,-0.3647,flat,3402.T;CL=F
2020-08-01,polyester,-0.6926,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-08-01,technical,-1.5317,short,3402.T
2020-08-01,viscose,-1.2473,short,LNZ.VI
2020-09-01,cotton,0.7857,flat,CT=F
2020-09-01,denim,-0.9813,flat,CT=F
2020-09-01,leather,-0.0415,flat,LE=F
2020-09-01,nylon,0.2787,flat,3402.T;CL=F
2020-09-01,polyester,-0.3788,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-09-01,technical,-1.4797,short,3402.T
2020-09-01,viscose,-1.4387,short,LNZ.VI
2020-10-01,cotton,0.2785,flat,CT=F
2020-10-01,denim,0.8384,flat,CT=F
2020-10-01,leather,-0.5548,flat,LE=F
2020-10-01,nylon,-0.4731,flat,3402.T;CL=F
2020-10-01,polyester,0.5446,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-10-01,technical,1.5228,long,3402.T
2020-10-01,viscose,-0.595,flat,LNZ.VI
2020-11-01,cotton,-0.9861,flat,CT=F
2020-11-01,denim,4.207,long,CT=F
2020-11-01,leather,-1.4025,short,LE=F
2020-11-01,nylon,0.2226,flat,3402.T;CL=F
2020-11-01,polyester,-1.0089,short,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-11-01,technical,0.2205,flat,3402.T
2020-11-01,viscose,0.8174,flat,LNZ.VI
2020-12-01,cotton,-0.8128,flat,CT=F
2020-12-01,denim,0.4715,flat,CT=F
2020-12-01,leather,3.6911,long,LE=F
2020-12-01,nylon,3.1978,long,3402.T;CL=F
2020-12-01,polyester,-2.1358,short,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-12-01,technical,-1.9333,short,3402.T
2020-12-01,viscose,-1.6602,short,LNZ.VI
2021-01-01,cotton,-0.2716,flat,CT=F
2021-01-01,denim,-0.3396,flat,CT=F
2021-01-01,leather,-1.4496,short,LE=F
2021-01-01,nylon,-0.1651,flat,3402.T;CL=F
2021-01-01,polyester,0.8162,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-01-01,technical,0.0571,flat,3402.T
2021-01-01,viscose,-0.5768,flat,LNZ.VI
2021-02-01,cotton,1.1596,long,CT=F
2021-02-01,denim,-0.4739,flat,CT=F
2021-02-01,leather,0.2177,flat,LE=F
2021-02-01,nylon,-0.0931,flat,3402.T;CL=F
2021-02-01,polyester,-0.3507,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-02-01,technical,0.2832,flat,3402.T
2021-02-01,viscose,-0.909,flat,LNZ.VI
2021-03-01,cotton,0.0082,flat,CT=F
2021-03-01,denim,-0.0554,flat,CT=F
2021-03-01,leather,-0.2551,flat,LE=F
2021-03-01,nylon,0.3198,flat,3402.T;CL=F
2021-03-01,polyester,0.4129,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-03-01,technical,0.3001,flat,3402.T
2021-03-01,viscose,-0.4859,flat,LNZ.VI
2021-04-01,cotton,-0.9258,flat,CT=F
2021-04-01,denim,0.1136,flat,CT=F
2021-04-01,leather,-0.259,flat,LE=F
2021-04-01,nylon,0.4624,flat,3402.T;CL=F
2021-04-01,polyester,-0.6081,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-04-01,technical,-0.0672,flat,3402.T
2021-04-01,viscose,-0.6305,flat,LNZ.VI
2021-05-01,cotton,-1.4318,short,CT=F
2021-05-01,denim,-0.7758,flat,CT=F
2021-05-01,leather,3.2894,long,LE=F
2021-05-01,nylon,0.3322,flat,3402.T;CL=F
2021-05-01,polyester,-0.3625,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-05-01,technical,-1.3305,short,3402.T
2021-05-01,viscose,-0.7327,flat,LNZ.VI
2021-06-01,cotton,-0.3513,flat,CT=F
2021-06-01,denim,0.3421,flat,CT=F
2021-06-01,leather,-0.4467,flat,LE=F
2021-06-01,nylon,-0.3898,flat,3402.T;CL=F
2021-06-01,polyester,1.7971,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-06-01,technical,-1.1304,short,3402.T
2021-06-01,viscose,1.4653,long,LNZ.VI
2021-07-01,cotton,2.1654,long,CT=F
2021-07-01,denim,-0.3049,flat,CT=F
2021-07-01,leather,-0.0957,flat,LE=F
2021-07-01,nylon,-0.8474,flat,3402.T;CL=F
2021-07-01,polyester,-1.0796,short,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-07-01,technical,-0.2411,flat,3402.T
2021-07-01,viscose,-0.6747,flat,LNZ.VI
2021-08-01,cotton,1.2862,long,CT=F
2021-08-01,denim,0.5838,flat,CT=F
2021-08-01,leather,-0.4333,flat,LE=F
2021-08-01,nylon,-0.9095,flat,3402.T;CL=F
2021-08-01,polyester,-0.6201,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-08-01,technical,-0.2912,flat,3402.T
2021-08-01,viscose,1.0973,long,LNZ.VI
2021-09-01,cotton,1.5182,long,CT=F
2021-09-01,denim,-0.3169,flat,CT=F
2021-09-01,leather,1.0511,long,LE=F
2021-09-01,nylon,-0.9534,flat,3402.T;CL=F
2021-09-01,polyester,-1.1953,short,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-09-01,technical,1.9688,long,3402.T
2021-09-01,viscose,-1.0511,short,LNZ.VI
2021-10-01,cotton,-1.3111,short,CT=F
2021-10-01,denim,-0.7175,flat,CT=F
2021-10-01,leather,3.313,long,LE=F
2021-10-01,nylon,-1.3251,short,3402.T;CL=F
2021-10-01,polyester,-0.1795,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-10-01,technical,-0.5442,flat,3402.T
2021-10-01,viscose,0.1472,flat,LNZ.VI
2021-11-01,cotton,-2.0645,short,CT=F
2021-11-01,denim,0.0189,flat,CT=F
2021-11-01,leather,-0.361,flat,LE=F
2021-11-01,nylon,1.6956,long,3402.T;CL=F
2021-11-01,polyester,-1.4723,short,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-11-01,technical,1.1901,long,3402.T
2021-11-01,viscose,0.0458,flat,LNZ.VI
2021-12-01,cotton,-0.2721,flat,CT=F
2021-12-01,denim,-1.2854,short,CT=F
2021-12-01,leather,-0.6946,flat,LE=F
2021-12-01,nylon,-1.7578,short,3402.T;CL=F
2021-12-01,polyester,1.495,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-12-01,technical,0.9053,flat,3402.T
2021-12-01,viscose,-0.27,flat,LNZ.VI
2022-01-01,cotton,0.4691,flat,CT=F
2022-01-01,denim,-2.2911,short,CT=F
2022-01-01,leather,-0.7484,flat,LE=F
2022-01-01,nylon,0.8851,flat,3402.T;CL=F
2022-01-01,polyester,-0.4386,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-01-01,technical,0.8805,flat,3402.T
2022-01-01,viscose,-1.0539,short,LNZ.VI
2022-02-01,cotton,-0.0683,flat,CT=F
2022-02-01,denim,-0.6228,flat,CT=F
2022-02-01,leather,-0.6239,flat,LE=F
2022-02-01,nylon,-0.3261,flat,3402.T;CL=F
2022-02-01,polyester,0.713,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-02-01,technical,1.1914,long,3402.T
2022-02-01,viscose,1.788,long,LNZ.VI
2022-03-01,cotton,1.8972,long,CT=F
2022-03-01,denim,-1.6179,short,CT=F
2022-03-01,leather,-1.0091,short,LE=F
2022-03-01,nylon,-0.477,flat,3402.T;CL=F
2022-03-01,polyester,0.5696,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-03-01,technical,-0.4037,flat,3402.T
2022-03-01,viscose,-1.3575,short,LNZ.VI
2022-04-01,cotton,-0.0709,flat,CT=F
2022-04-01,denim,0.3211,flat,CT=F
2022-04-01,leather,-0.6879,flat,LE=F
2022-04-01,nylon,-1.4719,short,3402.T;CL=F
2022-04-01,polyester,0.8173,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-04-01,technical,2.7241,long,3402.T
2022-04-01,viscose,0.5215,flat,LNZ.VI
2022-05-01,cotton,-0.1275,flat,CT=F
2022-05-01,denim,5.8921,long,CT=F
2022-05-01,leather,-0.6084,flat,LE=F
2022-05-01,nylon,-1.3408,short,3402.T;CL=F
2022-05-01,polyester,0.6675,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-05-01,technical,0.0066,flat,3402.T
2022-05-01,viscose,-0.4685,flat,LNZ.VI
2022-06-01,cotton,0.2829,flat,CT=F
2022-06-01,denim,0.3672,flat,CT=F
2022-06-01,leather,-0.6158,flat,LE=F
2022-06-01,nylon,0.9625,flat,3402.T;CL=F
2022-06-01,polyester,0.9454,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-06-01,technical,0.3721,flat,3402.T
2022-06-01,viscose,0.3673,flat,LNZ.VI
2022-07-01,cotton,-0.8412,flat,CT=F
2022-07-01,denim,1.2716,long,CT=F
2022-07-01,leather,-0.737,flat,LE=F
2022-07-01,nylon,0.4598,flat,3402.T;CL=F
2022-07-01,polyester,1.4858,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-07-01,technical,0.0715,flat,3402.T
2022-07-01,viscose,1.0013,long,LNZ.VI
2022-08-01,cotton,-0.1039,flat,CT=F
2022-08-01,denim,-0.8748,flat,CT=F
2022-08-01,leather,-0.3097,flat,LE=F
2022-08-01,nylon,0.1656,flat,3402.T;CL=F
2022-08-01,polyester,-0.1594,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-08-01,technical,-1.4217,short,3402.T
2022-08-01,viscose,0.7364,flat,LNZ.VI
2022-09-01,cotton,-0.3277,flat,CT=F
2022-09-01,denim,-0.3348,flat,CT=F
2022-09-01,leather,-0.5709,flat,LE=F
2022-09-01,nylon,0.2855,flat,3402.T;CL=F
2022-09-01,polyester,0.3636,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-09-01,technical,-0.7312,flat,3402.T
2022-09-01,viscose,0.5158,flat,LNZ.VI
2022-10-01,cotton,0.7243,flat,CT=F
2022-10-01,denim,-0.0395,flat,CT=F
2022-10-01,leather,-0.1298,flat,LE=F
2022-10-01,nylon,0.7149,flat,3402.T;CL=F
