retailer,month,material,share,n_items,known_date,thin_sample
asos,2020-06,polyester,0.396806,36,2020-06-30,False
asos,2020-06,silk,0.0,36,2020-06-30,False
asos,2020-06,technical,0.030556,36,2020-06-30,False
asos,2020-06,viscose,0.105278,36,2020-06-30,False
asos,2020-06,wool,0.0,36,2020-06-30,False
asos,2020-07,cashmere,0.0,15,2020-07-31,True
asos,2020-07,cotton,0.338,15,2020-07-31,True
asos,2020-07,denim,0.0,15,2020-07-31,True
asos,2020-07,elastane,0.066418,15,2020-07-31,True
asos,2020-07,leather,0.0,15,2020-07-31,True
asos,2020-07,linen,0.0,15,2020-07-31,True
asos,2020-07,nylon,0.022088,15,2020-07-31,True
asos,2020-07,other,0.146667,15,2020-07-31,True
asos,2020-07,polyester,0.393494,15,2020-07-31,True
asos,2020-07,silk,0.0,15,2020-07-31,True
asos,2020-07,technical,0.033333,15,2020-07-31,True
asos,2020-07,viscose,0.0,15,2020-07-31,True
asos,2020-07,wool,0.0,15,2020-07-31,True
asos,2020-08,cashmere,0.0,25,2020-08-31,True
asos,2020-08,cotton,0.4316,25,2020-08-31,True
asos,2020-08,denim,0.0,25,2020-08-31,True
asos,2020-08,elastane,0.014,25,2020-08-31,True
asos,2020-08,leather,0.0,25,2020-08-31,True
asos,2020-08,linen,0.0,25,2020-08-31,True
asos,2020-08,nylon,0.0624,25,2020-08-31,True
asos,2020-08,other,0.034,25,2020-08-31,True
asos,2020-08,polyester,0.4392,25,2020-08-31,True
asos,2020-08,silk,0.0,25,2020-08-31,True
asos,2020-08,technical,0.0,25,2020-08-31,True
asos,2020-08,viscose,0.0188,25,2020-08-31,True
asos,2020-08,wool,0.0,25,2020-08-31,True
asos,2020-09,cashmere,0.0,28,2020-09-30,True
asos,2020-09,cotton,0.19437,28,2020-09-30,True
asos,2020-09,denim,0.0,28,2020-09-30,True
asos,2020-09,elastane,0.023424,28,2020-09-30,True
asos,2020-09,leather,0.017857,28,2020-09-30,True
asos,2020-09,linen,0.0,28,2020-09-30,True
asos,2020-09,nylon,0.038929,28,2020-09-30,True
asos,2020-09,other,0.103929,28,2020-09-30,True
asos,2020-09,polyester,0.550063,28,2020-09-30,True
asos,2020-09,silk,0.0,28,2020-09-30,True
asos,2020-09,technical,0.071429,28,2020-09-30,True
asos,2020-09,viscose,0.0,28,2020-09-30,True
asos,2020-09,wool,0.0,28,2020-09-30,True
asos,2020-10,cashmere,0.0,35,2020-10-31,False
asos,2020-10,cotton,0.120143,35,2020-10-31,False
